time,gFx,gFy,gFz,gFTotal
2018-10-02 15:47:09.0040,-0.003,0.027,-1.008,1.008
2018-10-02 15:47:09.0140,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.0390,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.0390,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.0440,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.0540,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.0640,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.0900,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:09.0900,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:09.0940,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.1030,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.1130,-0.002,0.026,-1.006,1.006
2018-10-02 15:47:09.1390,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.1400,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.1430,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.1530,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:09.1630,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:09.1890,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.1890,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:09.1930,-0.002,0.026,-1.009,1.009
2018-10-02 15:47:09.2030,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.2130,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.2390,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:09.2390,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:09.2430,-0.003,0.027,-1.008,1.008
2018-10-02 15:47:09.2530,-0.003,0.027,-1.008,1.008
2018-10-02 15:47:09.2630,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:09.2890,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:09.2890,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:09.2930,-0.003,0.027,-1.01,1.01
2018-10-02 15:47:09.3030,-0.003,0.027,-1.008,1.008
2018-10-02 15:47:09.3130,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:09.3390,-0.003,0.026,-1.009,1.009
2018-10-02 15:47:09.3400,-0.003,0.026,-1.009,1.009
2018-10-02 15:47:09.3430,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.3520,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:09.3630,-0.002,0.026,-1.009,1.009
2018-10-02 15:47:09.3890,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.3890,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.3920,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:09.4020,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.4120,-0.003,0.027,-1.007,1.007
2018-10-02 15:47:09.4380,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.4390,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.4420,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:09.4520,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:09.4620,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:09.4880,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:09.4890,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:09.4920,-0.003,0.027,-1.008,1.008
2018-10-02 15:47:09.5020,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:09.5120,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.5380,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.5390,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:09.5420,-0.003,0.027,-1.008,1.008
2018-10-02 15:47:09.5520,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.5620,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.5880,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.5890,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:09.5920,-0.002,0.027,-1.007,1.007
